placement	placement_desc	version	version_label	size_bytes	reps	median_us	min_us	max_us	spread_pct	bandwidth_GBs
2node	inter-node	converse	old Converse	128	5	8.833874	7.348744	9.701446	32.02	0.0145
2node	inter-node	converse	old Converse	256	5	9.034269	7.528315	10.196566	35.44	0.0283
2node	inter-node	converse	old Converse	512	5	9.008867	7.411461	9.952198	34.28	0.0568
2node	inter-node	converse	old Converse	1024	5	8.930430	7.684017	9.284775	20.83	0.1147
2node	inter-node	converse	old Converse	2048	5	8.999064	7.797024	9.583375	22.91	0.2276
2node	inter-node	converse	old Converse	4096	5	9.291927	8.202385	9.722005	18.53	0.4408
2node	inter-node	converse	old Converse	8192	5	11.722850	10.191771	12.829739	25.88	0.6988
2node	inter-node	converse	old Converse	16384	5	10.228273	9.068976	10.820656	19.32	1.6018
2node	inter-node	converse	old Converse	32768	5	13.058659	11.894069	13.563250	14.03	2.5093
2node	inter-node	converse	old Converse	65536	5	15.165016	13.923981	15.683282	12.64	4.3215
2node	inter-node	converse	old Converse	131072	5	19.116494	17.958183	19.413468	8.10	6.8565
2node	inter-node	converse	old Converse	262144	5	25.645382	25.561870	27.251661	6.61	10.2219
2node	inter-node	converse	old Converse	524288	5	38.615169	37.737548	40.140106	6.37	13.5773
2node	inter-node	converse	old Converse	1048576	5	64.322185	61.210069	67.951007	11.01	16.3019
2node	inter-node	converse	old Converse	2097152	5	122.780487	107.576288	131.336883	22.09	17.0805
2node	inter-node	converse	old Converse	4194304	5	239.982731	200.962468	261.112945	29.93	17.4775
2node	inter-node	converse	old Converse	8388608	5	469.077336	384.693892	517.743989	34.59	17.8832
2node	inter-node	converse	old Converse	16777216	5	929.354830	779.892119	1063.611745	36.38	18.0525
2node	inter-node	converse	old Converse	33554432	5	5678.712401	5335.015521	6171.116679	15.67	5.9088
2node	inter-node	converse	old Converse	67108864	5	10870.888770	10804.061772	11320.994035	4.78	6.1733
2node	inter-node	recon_normal	Reconverse msg	16	5	3.374100	3.021121	3.895998	28.96	0.0047
2node	inter-node	recon_normal	Reconverse msg	32	5	3.143787	2.817631	3.566623	26.58	0.0102
2node	inter-node	recon_normal	Reconverse msg	64	5	3.099442	2.816439	3.556490	26.28	0.0206
2node	inter-node	recon_normal	Reconverse msg	128	5	3.712416	3.408790	4.290938	25.88	0.0345
2node	inter-node	recon_normal	Reconverse msg	256	5	3.887892	3.513098	4.503489	28.19	0.0658
2node	inter-node	recon_normal	Reconverse msg	512	5	3.968239	3.597140	4.565954	26.93	0.1290
2node	inter-node	recon_normal	Reconverse msg	1024	5	4.071712	3.710985	4.423380	19.20	0.2515
2node	inter-node	recon_normal	Reconverse msg	2048	5	4.406452	4.035950	4.661083	15.49	0.4648
2node	inter-node	recon_normal	Reconverse msg	4096	5	4.702926	4.358172	5.025387	15.31	0.8709
2node	inter-node	recon_normal	Reconverse msg	8192	5	16.043305	14.766932	16.911864	14.53	0.5106
2node	inter-node	recon_normal	Reconverse msg	16384	5	16.401172	14.971614	17.395020	16.19	0.9990
2node	inter-node	recon_normal	Reconverse msg	32768	5	17.213941	15.617967	18.078208	15.75	1.9036
2node	inter-node	recon_normal	Reconverse msg	65536	5	18.616080	16.889095	19.441724	15.11	3.5204
2node	inter-node	recon_normal	Reconverse msg	131072	5	21.327853	19.610882	22.115946	12.77	6.1456
2node	inter-node	recon_normal	Reconverse msg	262144	5	26.690722	24.950147	27.598023	10.61	9.8215
2node	inter-node	recon_normal	Reconverse msg	524288	5	37.517667	36.020637	38.445115	6.73	13.9744
2node	inter-node	recon_normal	Reconverse msg	1048576	5	59.251070	57.607889	60.017228	4.18	17.6972
2node	inter-node	recon_normal	Reconverse msg	2097152	5	103.722811	101.836920	104.348421	2.47	20.2188
2node	inter-node	recon_normal	Reconverse msg	4194304	5	192.669272	190.550208	193.738818	1.67	21.7694
2node	inter-node	recon_normal	Reconverse msg	8388608	5	369.576931	368.450880	370.566010	0.57	22.6979
2node	inter-node	recon_normal	Reconverse msg	16777216	5	710.845947	710.440636	712.347746	0.27	23.6018
2node	inter-node	recon_normal	Reconverse msg	33554432	5	5291.132689	5210.157037	5319.766521	2.10	6.3416
2node	inter-node	recon_normal	Reconverse msg	67108864	5	10262.294173	10240.026355	10300.429344	0.59	6.5394
2node	inter-node	recon_rdma	Reconverse RDMA	16	5	9.387016	8.704901	10.314703	18.49	0.0017
2node	inter-node	recon_rdma	Reconverse RDMA	32	5	9.187818	8.342028	10.097146	21.04	0.0035
2node	inter-node	recon_rdma	Reconverse RDMA	64	5	9.125710	8.267045	10.003924	21.01	0.0070
2node	inter-node	recon_rdma	Reconverse RDMA	128	5	8.852482	8.099079	9.738445	20.24	0.0145
2node	inter-node	recon_rdma	Reconverse RDMA	256	5	8.850574	8.158445	9.714723	19.08	0.0289
2node	inter-node	recon_rdma	Reconverse RDMA	512	5	8.945227	8.230925	9.788632	18.93	0.0572
2node	inter-node	recon_rdma	Reconverse RDMA	1024	5	9.025693	8.301497	9.859920	18.77	0.1135
2node	inter-node	recon_rdma	Reconverse RDMA	2048	5	9.205937	8.486032	9.772897	15.16	0.2225
2node	inter-node	recon_rdma	Reconverse RDMA	4096	5	9.302735	8.571386	9.725451	13.46	0.4403
2node	inter-node	recon_rdma	Reconverse RDMA	8192	5	9.622693	8.895636	10.045886	12.93	0.8513
2node	inter-node	recon_rdma	Reconverse RDMA	16384	5	10.094523	9.397388	10.525465	12.00	1.6231
2node	inter-node	recon_rdma	Reconverse RDMA	32768	5	11.180758	10.340810	11.499524	11.21	2.9307
2node	inter-node	recon_rdma	Reconverse RDMA	65536	5	13.145804	12.391806	13.521433	9.12	4.9853
2node	inter-node	recon_rdma	Reconverse RDMA	131072	5	17.058730	16.339660	17.520189	7.22	7.6836
2node	inter-node	recon_rdma	Reconverse RDMA	262144	5	24.487019	23.890972	24.957657	4.46	10.7054
2node	inter-node	recon_rdma	Reconverse RDMA	524288	5	37.123799	36.542892	37.678003	3.11	14.1227
2node	inter-node	recon_rdma	Reconverse RDMA	1048576	5	62.917948	62.496305	63.027263	0.85	16.6658
2node	inter-node	recon_rdma	Reconverse RDMA	2097152	5	121.464968	120.269418	123.815417	2.95	17.2655
2node	inter-node	recon_rdma	Reconverse RDMA	4194304	5	245.155096	242.242455	246.149659	1.61	17.1088
2node	inter-node	recon_rdma	Reconverse RDMA	8388608	5	479.097009	469.936967	484.099746	3.01	17.5092
2node	inter-node	recon_rdma	Reconverse RDMA	16777216	5	701.966286	701.775789	702.354908	0.08	23.9003
2node	inter-node	recon_rdma	Reconverse RDMA	33554432	5	1396.801591	1396.689892	1396.983862	0.02	24.0223
